207.46.199.45 - - [02/Jul/2010:00:05:18 -0700] "GET thetybeetimes.net/robots.txt HTTP/1.1" 200 38 "-" "msnbot/2.0b (+http://search.msn.com/msnbot.htm)"
174.36.241.156 - - [02/Jul/2010:00:10:31 -0700] "GET thetybeetimes.net/wp-content/plugins/nextgen-gallery/xml/media-rss.php HTTP/1.1" 200 8455 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.2.1; aggregator:Spinn3r (Spinn3r 3.1); http://spinn3r.com/robot) Gecko/20021130"
72.167.232.155 - - [02/Jul/2010:00:22:57 -0700] "POST thetybeetimes.net/wp-cron.php?doing_wp_cron HTTP/1.0" 200 0 "-" "WordPress/2.9.1; http://thetybeetimes.net"
173.234.183.11 - - [02/Jul/2010:00:22:59 -0700] "GET thetybeetimes.net/2010/05/its-those-bums-again/ HTTP/1.0" 200 25593 "http://www.gofreelance.com/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; pl; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3"
173.234.183.11 - - [02/Jul/2010:00:23:03 -0700] "POST thetybeetimes.net/wp-comments-post.php HTTP/1.0" 302 0 "http://thetybeetimes.net/2010/05/its-those-bums-again/" "Mozilla/5.0 (Windows; U; Windows NT 5.1; pl; rv:1.9.1.3) Gecko/20090824 Firefox/3.5.3"
209.85.238.198 - - [02/Jul/2010:00:23:36 -0700] "GET thetybeetimes.net/ HTTP/1.1" 200 43861 "-" "Feedfetcher-Google; (+http://www.google.com/feedfetcher.html; 1 subscribers; feed-id=8694166601657009783)"
69.254.64.75 - - [02/Jul/2010:00:28:21 -0700] "GET thetybeetimes.net/comments/feed/ HTTP/1.1" 200 10411 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3"
69.254.64.75 - - [02/Jul/2010:00:28:23 -0700] "GET thetybeetimes.net/comments/feed/ HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3"
119.63.193.215 - - [02/Jul/2010:00:37:49 -0700] "GET thetybeetimes.net/ HTTP/1.1" 200 43617 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
208.115.111.247 - - [02/Jul/2010:00:38:31 -0700] "GET thetybeetimes.net/robots.txt HTTP/1.1" 200 38 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.dotnetdotcom.org/, crawler@dotnetdotcom.org)"
174.36.241.157 - - [02/Jul/2010:00:42:47 -0700] "GET thetybeetimes.net/ HTTP/1.1" 200 43854 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.2.1; aggregator:Spinn3r (Spinn3r 3.1); http://spinn3r.com/robot) Gecko/20021130"
